,CMS3,Normal,CMS4,CMS2,CMS1
TSHR,19.0,14.0,13.0,5.0,2.0
CMTR1,15.0,7.0,6.0,5.0,1.0
FYB,10.0,5.0,3.0,3.0,2.0
SUN5,3.0,1.0,3.0,2.0,1.0
CEP76,2.0,,,1.0,
HTR3B,8.0,5.0,4.0,4.0,1.0
LATS2,22.0,18.0,16.0,10.0,6.0
TOM1L2,18.0,13.0,13.0,10.0,5.0
NNAT,4.0,1.0,2.0,2.0,1.0
ZNF771,22.0,18.0,16.0,10.0,6.0
MYO5C,17.0,12.0,10.0,4.0,3.0
MT-CO1,22.0,18.0,15.0,10.0,6.0
COMMD6,12.0,5.0,7.0,5.0,1.0
S100B,11.0,7.0,8.0,,2.0
HTR4,2.0,,2.0,,
KLHL35,3.0,1.0,3.0,,
CCRL2,19.0,15.0,12.0,8.0,6.0
HLA-DRB1,9.0,8.0,7.0,1.0,2.0
ODC1,11.0,13.0,8.0,5.0,2.0
FBXW7,20.0,13.0,13.0,10.0,4.0
UTP15,5.0,6.0,1.0,1.0,2.0
ARPIN,1.0,,1.0,,
GAPVD1,2.0,2.0,,,
MAP10,1.0,1.0,1.0,1.0,
NFKBIA,9.0,9.0,7.0,1.0,3.0
PTPRR,1.0,1.0,1.0,2.0,
PDHA1,1.0,,1.0,,
MMP9,2.0,2.0,1.0,,
RBM34,6.0,3.0,2.0,1.0,
RRAS,16.0,16.0,16.0,7.0,6.0
CX3CR1,16.0,14.0,12.0,9.0,5.0
ARG1,11.0,10.0,7.0,7.0,3.0
ENTHD1,5.0,5.0,5.0,5.0,2.0
TRPV6,3.0,6.0,4.0,5.0,2.0
MAN1C1,5.0,6.0,6.0,5.0,3.0
CNNM2,3.0,4.0,3.0,5.0,1.0
VPS51,4.0,3.0,5.0,5.0,2.0
TRMT5,3.0,4.0,2.0,4.0,2.0
DVL2,6.0,7.0,9.0,5.0,3.0
G6PD,2.0,1.0,1.0,4.0,2.0
CACNB1,2.0,6.0,6.0,5.0,3.0
CHRM1,6.0,5.0,7.0,4.0,3.0
TAS2R4,11.0,7.0,9.0,5.0,5.0
OLFML1,3.0,5.0,3.0,,1.0
C1RL,6.0,4.0,4.0,2.0,2.0
SUCLG1,8.0,5.0,1.0,3.0,
MRPS16,3.0,3.0,2.0,2.0,1.0
ZNF416,1.0,,,,
IFT122,1.0,,,,
WDR34,1.0,3.0,2.0,1.0,
HIST2H2AA,3.0,5.0,6.0,,2.0
DHRS12,1.0,,,2.0,
DEFB124,1.0,1.0,1.0,,
FOXD3,4.0,,1.0,,
TTLL4,4.0,,,2.0,
MOGAT1,3.0,,2.0,,
IFT20,3.0,2.0,,1.0,1.0
MYCL,1.0,4.0,2.0,,1.0
MAGED4B,3.0,5.0,2.0,,1.0
TSLP,2.0,,,,
LRRC47,1.0,,1.0,,
GPLD1,1.0,1.0,,,
FAAH,1.0,,,,
LIN7A,3.0,1.0,2.0,,1.0
SLC25A29,1.0,,,,
FRMPD4,1.0,1.0,,,1.0
LCORL,1.0,,,,1.0
MGLL,2.0,,,,
ISL2,2.0,3.0,,,
SH3RF2,1.0,,1.0,,
PLEC,1.0,1.0,1.0,,
ARGLU1,1.0,,,,
RBBP7,1.0,,,,
ENTPD2,1.0,3.0,2.0,,1.0
GGH,1.0,1.0,2.0,,1.0
ZNF202,1.0,1.0,,,
DCHS1,1.0,2.0,2.0,,2.0
UMOD,1.0,,,,
SPTBN1,,1.0,,,
TM2D3,,1.0,,,
NDUFB4,,1.0,,,
CSAG1,,1.0,1.0,,
OR8B4,,1.0,,,
SPIN4,,1.0,,,1.0
MEIS1,,2.0,1.0,,
POLR3E,,1.0,,3.0,1.0
FAR2,,1.0,,,
IFT57,,1.0,,,
B4GALT6,,1.0,,,
KIF19,,1.0,,,
B3GALNT1,,1.0,1.0,,
TMEM187,,1.0,,,
NCAPD2,,1.0,,,
GALC,,1.0,,,
TMEM212,,,2.0,1.0,1.0
RTP3,,,1.0,,
CYP21A2,,,1.0,,
MRPL35,,,1.0,,
ARSD,,,1.0,,
CCDC24,,,1.0,,
ERVFRD-1,,,1.0,,
PLEKHO1,,,1.0,,
SLA2,,,1.0,,
EREG,,,1.0,,
DYNC2H1,,,1.0,,
PLA1A,,,,3.0,
GIPC1,,,,1.0,
TMEM39A,,,,1.0,
AZI2,,,,1.0,
PGAP1,,,,1.0,
WDR47,,,,,1.0
SERPINA7,,,,,1.0
CARD10,,,,,1.0
